,name,latitude,longitude,hours
0,Kobrick Coffee Co,40.740378,-74.005485,"Mon-Fri 12:00 AM-2:00 AM, 7:00 AM-11:59 PM; Sat-Sun 12:00 AM-2:00 AM, 8:00 AM-11:59 PM"
1,La Lanterna di Vittorio,40.730705,-74.000125,Mon-Fri 12:00 AM-2:00 AM; Sat-Sun 12:00 AM-3:00 AM
2,The Uncommons,40.729342,-73.998674,"Mon-Fri 8:30 AM-11:59 PM; Sat 12:00 AM-1:00 AM, 8:30 AM-11:59 PM; Sun 12:00 AM-1:00 AM, 8:30 AM-11:00 PM"
3,Hi-Collar,40.729199,-73.986051,"Mon-Fri 12:00 AM-12:30 AM, 11:00 AM-5:00 PM, 6:00 PM-11:59 PM; Sat-Sun 12:00 AM-11:59 PM"
4,Mudspot,40.729074,-73.986657,Mon-Fri 7:30 AM-11:59 PM; Sat-Sun 8:00 AM-11:59 PM
5,The Roost,40.729131,-73.978583,"Mon 12:00 AM-1:30 AM, 7:00 AM-11:59 PM; Tue-Fri 12:00 AM-2:00 AM, 7:00 AM-11:59 PM; Sat-Sun 12:00 AM-3:30 AM, 7:00 AM-11:59 PM"
6,Amorino,40.759452,-73.988548,Open Daily 11:00 AM-11:59 PM
7,Cafe Habana,40.72299,-73.994233,Open Daily 9:00 AM-11:59 PM
8,Bread & Butter,40.743639,-73.972686,Open Daily 12:00 AM-11:59 PM
9,Pasticceria Rocco,40.730854,-74.002576,"Mon-Fri 7:30 AM-11:59 PM; Sat 12:00 AM-1:00 AM, 7:30 AM-11:59 PM; Sun 12:00 AM-1:30 AM, 7:30 AM-11:59 PM"
10,Cafe Gitane,40.723194,-73.994677,"Mon-Fri 9:00 AM-11:59 PM; Sat-Sun 12:00 AM-12:30 AM, 9:00 AM-11:59 PM"
11,Dudley's,40.717967,-73.990499,"Mon-Wed 12:00 AM-2:00 AM, 9:00 AM-11:59 PM; Thu-Fri 12:00 AM-3:00 AM, 9:00 AM-11:59 PM; Sat-Sun 12:00 AM-4:00 AM, 9:00 AM-11:59 PM"
12,Murray Hill Market,40.746151,-73.979597,Open Daily 12:00 AM-11:59 PM
13,Nuyorican Poets Cafe,40.721979,-73.981752,Mon-Tue 12:00 PM-11:59 PM; Wed-Sun 12:00 AM-2:00 AM
14,Café Select,40.721813,-73.997853,"Mon-Fri 9:00 AM-11:59 PM; Sat-Sun 12:00 AM-1:00 AM, 9:00 AM-11:59 PM"
15,The Grey Dog,40.72295,-73.995715,Mon-Fri 6:30 AM-11:30 PM; Sat-Sun 7:00 AM-11:30 PM
16,Epistrophy,40.721177,-73.995427,Open Daily 11:00 AM-11:59 PM
17,Vin Sur Vingt,40.784916,-73.972938,Mon 4:00 PM-11:59 PM; Tue-Sun 12:00 AM-11:59 PM
18,Café Standard,40.727776,-73.990798,"Mon 12:00 AM-2:00 AM, 7:00 AM-11:59 PM; Tue-Thu 12:00 AM-3:00 AM, 7:00 AM-11:59 PM; Fri 12:00 AM-3:00 AM, 7:00 AM-4:00 PM; Sat 7:00 AM-4:00 PM; Sun 7:00 AM-11:59 PM"
19,Banc Cafe,40.743293,-73.979529,Open Daily 12:00 AM-3:59 AM
20,Caffe Reggio,40.730265,-74.000457,"Mon-Fri 12:00 AM-3:00 AM, 8:00 AM-11:59 PM; Sat-Sun 12:00 AM-4:30 AM, 8:00 AM-11:59 PM"
21,B'Artusi,40.733947,-74.005886,Mon-Fri 12:00 PM-11:59 PM; Sat-Sun 12:00 AM-11:59 PM
22,Sweet Rehab,40.726668,-74.001799,Mon 6:00 PM-11:45 PM; Tue 3:00 PM-11:45 PM; Wed 12:00 PM-11:45 PM; Thu 9:00 AM-11:45 PM; Fri 10:00 AM-11:45 PM; Sat 9:00 AM-11:45 PM; Sun 10:00 AM-11:45 PM
23,V-Nam Cafe,40.723536,-73.988012,Mon-Fri 11:00 AM-11:59 PM; Sat-Sun 12:00 AM-2:00 AM
24,Peter McManus Cafe,40.741834,-73.997551,Open Daily 12:00 AM-4:00 AM
25,Mansion Restaurant,40.776008,-73.946807,"Mon 6:30 AM-11:59 PM; Tue-Sat 12:00 AM-12:30 AM, 6:30 AM-11:59 PM; Sun 12:00 AM-12:30 AM, 6:30 AM-11:30 PM"
26,Radio Star,40.749471,-73.984531,Mon 3:00 PM-11:59 PM; Tue-Thu 12:00 AM-2:00 AM; Fri-Sun 12:00 AM-4:00 AM
27,Kind Regards,40.720847,-73.987732,Mon 4:00 PM-11:59 PM; Tue 12:00 AM-2:00 AM; Wed-Thu 12:00 AM-3:30 AM; Fri-Sun 12:00 AM-4:00 AM
28,Vintage,40.77932,-73.915556,Mon-Thu 11:00 AM-11:30 PM; Fri 11:00 AM-11:59 PM; Sat 12:00 AM-11:59 PM; Sun 11:00 AM-11:30 PM
29,Round K by Sol,40.715088,-73.993267,"Mon 9:30 AM-4:00 PM, 5:00 PM-12:00 AM; Tue-Wed 9:30 AM-4:00 PM; Thu-Fri 9:30 AM-4:00 PM, 5:00 PM-12:00 AM; Sat-Sun 10:00 AM-4:00 PM, 5:00 PM-12:00 AM"
30,Cafe 53,40.761787,-73.980033,Open Daily 12:00 AM-11:59 PM
31,Bar Veloce,40.730696,-73.986546,Open Daily 12:00 AM-3:00 AM
32,Shade,40.729864,-73.999306,Open Daily 12:00 AM-4:00 AM
33,Cafe Un Deux Trois,40.756763,-73.984249,Open Daily 7:00 AM-11:59 PM
34,Caffe Palermo,40.719023,-73.997307,Open Daily 10:30 AM-11:30 PM
35,Split Eights,40.705833,-74.010315,"Open Daily 12:00 AM-2:00 AM, 8:00 AM-3:00 PM, 4:00 PM-12:00 AM"
36,Stafili Wine Cafe,40.737432,-74.006679,Open Daily 11:00 AM-11:59 PM
37,Five & Dime,40.712582,-74.008051,Mon-Sat 7:00 AM-11:59 PM; Sun 9:00 AM-4:00 PM
38,The Flame Diner,40.768546,-73.98554,Open Daily 12:00 AM-11:59 PM
39,Viand Cafe,40.780702,-73.981078,Open Daily 7:00 AM-11:59 PM
40,Think Coffee,40.732982,-73.98978,Mon-Fri 7:00 AM-11:59 PM; Sat-Sun 7:30 AM-11:59 PM
41,Red Flame Coffee Shop,40.756103,-73.982694,Open Daily 6:30 AM-11:30 PM
42,Cafe Amrita,40.801013,-73.95848,Open Daily 8:00 AM-11:30 PM
43,ABC Cafeteria,40.772844,-73.980246,Open Daily 12:00 AM-11:59 PM
44,Amore Pizza Cafe,40.768344,-73.985008,Mon-Fri 12:00 AM-2:00 AM; Sat-Sun 12:00 AM-4:00 AM
45,Festivál,40.761845,-73.963827,Mon-Thu 8:00 AM-11:59 PM; Fri 10:00 AM-11:59 PM; Sat-Sun 12:00 AM-2:00 AM
46,Europan Cafe,40.757598,-73.989261,Open Daily 12:00 AM-11:59 PM
47,Monkey Room,40.854831,-73.937185,Open Daily 12:00 AM-4:00 AM
48,Aziza Cafe & Lounge,40.724455,-73.987917,Mon-Fri 12:00 AM-3:00 AM; Sat-Sun 12:00 AM-4:30 AM
49,Edgar's Cafe,40.791346,-73.972707,"Mon-Fri 8:00 AM-11:59 PM; Sat-Sun 12:00 AM-1:00 AM, 8:00 AM-11:59 PM"
